threshold,precision,recall,f1
0.0011312900195043077,0.3581836665537106,1.0,0.5274451097804391
0.0011806791137054253,0.3605047748976808,1.0,0.5299573828027074
0.0012033153202676485,0.3631054620405359,1.0,0.5327620967741936
0.0012314456755884882,0.36511226252158896,1.0,0.534919028340081
0.001263843499906137,0.36739659367396593,1.0,0.5373665480427047
0.0013056183385640146,0.3711376404494382,1.0,0.5413572343149808
0.0013369299835759472,0.37336630166019075,1.0,0.543724279835391
0.0013597962777386775,0.3773652267047483,1.0,0.5479523068947642
0.0013884844069038252,0.3806265754411235,1.0,0.5513823682837767
0.001408094589140551,0.3836660617059891,1.0,0.5545645330535153
0.0014360503882193776,0.38576642335766426,1.0,0.5567553331577562
0.0014561155483112339,0.3888888888888889,1.0,0.56
0.0014763293618921508,0.3922077922077922,1.0,0.5634328358208955
0.0014897153480197608,0.39440298507462684,1.0,0.5656944072785657
0.0015043312217307401,0.3969207660533233,1.0,0.5682795698924731
0.0015204703946665246,0.40113851992409866,1.0,0.5725893824485374
0.0015292987713949077,0.4049808429118774,1.0,0.5764930460867195
0.001553849200642267,0.4071648690292758,1.0,0.5787024363536819
0.0015654253012290457,0.41032608695652173,1.0,0.581888246628131
0.0015814200754455908,0.4164696611505122,1.0,0.588038942976356
0.0016015017165500953,0.42078025477707004,1.0,0.5923227794900532
0.0016349477437770789,0.42449799196787147,1.0,0.5959966168593177
0.0016503594472564221,0.42845561410620187,1.0,0.5998864926220204
0.0016655678519622698,0.43284193284193284,1.0,0.6041726207487854
0.0016858766361758642,0.43677685950413225,1.0,0.6079953983318953
0.0017031713727146342,0.4404166666666667,1.0,0.6115128724327452
0.0017190907393649477,0.4443043295502312,1.0,0.6152502910360885
0.001736257616998893,0.4473127380448582,1.0,0.6181286549707602
0.00175419610542744,0.4532590051457976,1.0,0.6237828267925641
0.00177396879325064,0.4603658536585366,1.0,0.6304801670146137
0.0017951997783212156,0.46502419709634846,1.0,0.6348348348348348
0.0018188292709329144,0.4725078229772016,1.0,0.641772920461445
0.0018412475194803065,0.478713768115942,1.0,0.6474732006125574
0.0018592394753827845,0.4841960604672469,1.0,0.6524691358024691
0.0018779159823505444,0.4941561477325853,1.0,0.6614518147684606
0.0019017292634021534,0.4976459510357815,1.0,0.6645708896573405
0.0019163887945290543,0.5033333333333333,1.0,0.6696230598669622
0.0019349642765364196,0.5081730769230769,1.0,0.6738922537456168
0.0019505474662911359,0.5133559980573094,1.0,0.6784338896020539
0.00197265694561082,0.5163654127992183,1.0,0.6810567010309277
0.001980132117686732,0.5217176702862784,1.0,0.6856957508919883
0.0019996480393394333,0.5271820448877805,1.0,0.6903984323971261
0.0020216591766234453,0.5319577252138903,1.0,0.6944809461235217
0.0020480515302333017,0.5373665480427047,1.0,0.6990740740740742
0.002064599269077466,0.5406649616368286,1.0,0.701859229747676
0.0021024568205593942,0.5459710743801653,1.0,0.7063147343802205
0.0021182076642641545,0.5522466039707419,1.0,0.7115449343655335
0.0021405153761400275,0.5577836411609499,1.0,0.7161246612466126
0.0021657123690153267,0.5646367521367521,1.0,0.7217480368726528
0.0022045641747434445,0.5691976305869683,1.0,0.7254632807137954
0.0022471116709056986,0.5753946652150245,1.0,0.7304768486523842
0.002275781922047795,0.5804503020318507,1.0,0.7345378735232801
0.002338704426240405,0.5852713178294574,1.0,0.7383863080684596
0.0023784768041123267,0.5901730876605249,1.0,0.7422752808988764
0.0024768021077327465,0.5951576576576577,1.0,0.7462054359336393
0.0026035321361678504,0.6019362186788155,1.0,0.7515108425168859
0.002724319020046655,0.606425702811245,1.0,0.755
0.0028848128834119114,0.6131090487238979,1.0,0.7601582164688961
0.003215913427482177,0.6192149970708846,1.0,0.7648335745296672
0.003801325106386596,0.6269276393831554,1.0,0.7706890266131972
0.004050473502176868,0.6336930455635491,1.0,0.7757798165137615
0.004567967288303481,0.6421628189550426,1.0,0.7820939696633371
0.00534784272065649,0.6508620689655172,1.0,0.7885117493472584
0.006036639469737459,0.6557071960297767,1.0,0.7920569501686024
0.008214849702128274,0.6610381488430269,1.0,0.7959337349397592
0.00906211260536693,0.6672979797979798,1.0,0.8004543733434305
0.010378112657233025,0.6736775015933716,1.0,0.805026656511805
0.01277067401348803,0.6788696210661529,1.0,0.8087222647283856
0.01759493525717876,0.6846553966189857,0.9962157048249763,0.8115606936416185
0.029771064377315515,0.6909448818897638,0.9962157048249763,0.8159628051142968
0.08071508634468372,0.6926147704590818,0.9848628192999054,0.81328125
0.1294645809755349,0.691683569979716,0.967833491012299,0.806782334384858
0.22738902840584257,0.6952642415923129,0.9583727530747398,0.8058870326173428
0.3248721230859163,0.6913925822253324,0.934720908230842,0.7948511665325824
0.38068020284713117,0.6884422110552764,0.9072847682119205,0.7828571428571428
0.41853875273499974,0.6851716581446311,0.8874172185430463,0.7732893652102225
0.44476233279471994,0.6900149031296572,0.8760643330179754,0.7719883284701958
0.4776095863668613,0.6871637202152191,0.8457899716177862,0.7582697201017813
0.5089475575050065,0.6865203761755486,0.8287606433301797,0.7509644234890699
0.5490976205500528,0.6875,0.8117313150425733,0.7444685466377441
0.5678032738584791,0.6845582163501238,0.7842951750236519,0.7310405643738976
0.5842870224138995,0.6852320675105485,0.7682119205298014,0.7243532560214094
0.6010813729693189,0.6855400696864111,0.7445600756859035,0.7138321995464854
0.6195790670512852,0.6819407008086253,0.718070009460738,0.6995391705069124
0.632267650197289,0.6821130676552364,0.6963103122043519,0.6891385767790261
0.6584942943435623,0.6777883698760725,0.6726584673604541,0.6752136752136753
0.6915361991200639,0.6780487804878049,0.6575212866603595,0.6676272814601344
0.7143869959860583,0.683049147442327,0.6442762535477767,0.6630963972736124
0.7318148694029843,0.6933333333333334,0.6395458845789972,0.6653543307086615
0.7438279898203705,0.6986301369863014,0.6272469252601703,0.6610169491525424
0.7939895093788855,0.7055616139585605,0.6121097445600757,0.6555217831813576
0.8149858889324676,0.7115600448933782,0.5998107852412489,0.6509240246406571
0.8253141967312984,0.7171129220023282,0.5827814569536424,0.6430062630480167
0.8337694842589494,0.7247596153846154,0.5704824976348155,0.6384330333509793
0.84254116011968,0.72875,0.5515610217596972,0.6278944534194937
0.8479845722148152,0.727509778357236,0.5279091769157994,0.6118421052631577
0.8561386468961609,0.7247956403269755,0.5033112582781457,0.5940815187046342
0.8626481850554463,0.7296511627906976,0.4749290444654683,0.5753581661891117
0.8668444409759662,0.7361963190184049,0.45411542100283825,0.5617320070216502
0.8754266816352666,0.7418300653594772,0.4295175023651845,0.5440383463151588
0.8834097900715869,0.7482638888888888,0.4077578051087985,0.5278628291488059
0.8900930549672394,0.7602996254681648,0.3841059602649007,0.5103708359522313
0.8925013188087842,0.7874493927125507,0.3680227057710501,0.5016118633139909
0.899344517266243,0.7930283224400871,0.3443708609271523,0.4802110817941952
0.9083579704174138,0.8037383177570093,0.3254493850520341,0.4632996632996633
0.9105738546486568,0.816793893129771,0.30368968779564803,0.44275862068965516
0.9134751153296071,0.838150289017341,0.27436140018921473,0.4133998574483249
0.93418011560653,0.8627450980392157,0.24976348155156103,0.3873807776962583
0.9607949708294097,0.8669201520912547,0.21570482497634816,0.3454545454545455
0.964977019513023,0.8930232558139535,0.1816461684011353,0.3018867924528302
0.9661294947692344,0.9316770186335404,0.14191106906338694,0.2463054187192118
0.9719998851660498,0.9741379310344828,0.10690633869441817,0.1926683716965047
0.9787592305072763,0.9625,0.0728476821192053,0.13544415127528583
0.9844868237418101,0.9615384615384616,0.04730368968779565,0.09017132551848511
0.9895459662178043,0.9310344827586207,0.02554399243140965,0.049723756906077346
0.9918582326505659,1.0,0.001892147587511826,0.003777148253068933
